Enterprise Name,Query Type,Query,Supporting Facts
ZX Bank,Analytical,Why might ZX Bank Asia impose daily transaction limits on UPI?,"[{""filename"": ""(UPI) \u2013 ZX Bank Asia.md"", ""text"": ""UPI daily limits with ZX Bank include \u20b91,00,000 per transaction, \u20b91,00,000 per day across all UPI transactions, and a maximum of 20 transfers per day. These limits are set as per NPCI & ZX Bank policies and may vary based on customer risk profile and regulatory updates. This helps in managing risk and ensuring security.""}]"
ZX Bank,Descriptive,What services does ZX Bank offer in Agra?,"[{""filename"": ""Agra Branch Network Overview.md"", ""text"": ""Agra, a dynamic hub in Uttar Pradesh, benefits from the extensive presence of ZX Bank, which offers comprehensive banking services through a well-planned network. ZX Bank ensures broad coverage by strategically placing branches across North, South, East, West, and Central Agra. This distribution provides convenient access to retail, corporate, and digital banking for residents, businesses, and visitors in every part of the city.""}]"
ZX Bank,Procedural,How can I contact the North Agra branch at Sadar Bazar?,"[{""filename"": ""Agra Branch Network Overview.md"", ""text"": ""| Branch Address | IFSC Code | Contact Number |\n|-----------------------------------------------|---------------|-----------------|\n| D-45, Sadar Bazar, Delhi Gate, North Agra | ZXIN0001043 | 0562-2298036 |""}]"
ZX Bank,Analytical,Why might ZX Bank benefit from having a network in all areas of Agra?,"[{""filename"": ""Agra Branch Network Overview.md"", ""text"": ""Agra, a dynamic hub in Uttar Pradesh, benefits from the extensive presence of ZX Bank, which offers comprehensive banking services through a well-planned network. ZX Bank ensures broad coverage by strategically placing branches across North, South, East, West, and Central Agra. This distribution provides convenient access to retail, corporate, and digital banking for residents, businesses, and visitors in every part of the city.""}]"
ZX Bank,Comparative,How does branch availability differ between East and West Agra for ZX Bank?,"[{""filename"": ""Agra Branch Network Overview.md"", ""text"": ""## East Agra\n\n| Branch Address | IFSC Code | Contact Number |\n|---------------------------------------------------|---------------|-----------------|\n| C-110, Trans Yamuna Colony, Etmadpur, East Agra | ZXIN0003041 | 0562-2538700 |\n| Gate No.4, Agra Cantt, Idgah Colony, Agra-282001 | ZXIN0003042 | 0562-2538725 |\n| 10, Kheria Road, Shastripuram, East Agra | ZXIN0003043 | 0562-2538734 |\n\n## West Agra\n\n| Branch Address | IFSC Code | Contact Number |\n|-------------------------------------------------|---------------|-----------------|\n| 81, Sanjay Place, West Agra | ZXIN0004041 | 0562-2529480 |\n| Plot 6, Sikandra Road, Khandari, Agra | ZXIN0004042 | 0562-2529427 |\n| A-9, K.K. Nagar, Hathras Road, West Agra | ZXIN0004043 | 0562-2529409 |\n| 4/12, Surya Nagar, Baluganj, Agra | ZXIN0004044 | 0562-2529561 |""}]"
ZX Bank,Descriptive,What is the branch network of ZX Bank in Bangalore?,"[{""filename"": ""Bangalore Branch Network.md"", ""text"": ""ZX Bank is committed to providing comprehensive and accessible financial services across Bangalore, one of India\u2019s most dynamic metropolitan cities. With a robust branch network distributed throughout North, South, East, West, and Central Bangalore, customers enjoy seamless banking solutions close to their neighborhoods. The branches are strategically located to cater to residential, commercial, and emerging tech districts, ensuring a convenient banking experience for every customer.""}]"
ZX Bank,Analytical,Why are ZX Bank's branches strategically located in different areas of Bangalore?,"[{""filename"": ""Bangalore Branch Network.md"", ""text"": ""The branches are strategically located to cater to residential, commercial, and emerging tech districts, ensuring a convenient banking experience for every customer.""}]"
ZX Bank,Comparative,How do branch locations in South Bangalore differ from those in West Bangalore for ZX Bank?,"[{""filename"": ""Bangalore Branch Network.md"", ""text"": ""South Bangalore branches include locations like JP Nagar, Jayanagar 4th Block, Banashankari, and Electronic City, which are likely residential and tech-centric areas. In contrast, West Bangalore branches include locations such as Rajajinagar Industrial Town and Yeshwanthpur Industrial Suburb, which might cater more to industrial and traditional commercial areas.""}]"
ZX Bank,Procedural,"How can I find the contact number for the ZX Bank branch at Whitefield Main Road, East Bangalore?","[{""filename"": ""Bangalore Branch Network.md"", ""text"": ""East Bangalore\u2019s Whitefield Main Road branch address is provided in the table as 502, Whitefield Main Road, ITPL, and the contact number is 080-41003201.""}]"
ZX Bank,Temporal,How many branches does ZX Bank have in Central Bangalore?,"[{""filename"": ""Bangalore Branch Network.md"", ""text"": ""Central Bangalore has six branches located on MG Road (Trinity Circle), Lavelle Road (Richmond Town), Brigade Road (Ashok Nagar), St. Mark\u2019s Road (Shanthala Nagar), Cunningham Road (Vasanth Nagar), and Shivajinagar (Infantry Road).""}]"
ZX Bank,Descriptive,What is the branch network of ZX Bank Ltd. in Sri Lanka?,"[{""filename"": ""Sri Lanka Branch Network.md"", ""text"": ""ZX Bank Ltd. has established a robust presence in Sri Lanka with a strategically distributed network of 32 branches spanning all major provinces. This extensive coverage ensures that customers across Sri Lanka have convenient access to a wide range of banking services, from retail and SME banking to remittances and digital solutions. Each branch is equipped to support both individuals and businesses, furthering financial inclusion nation-wide.""}]"
ZX Bank,Analytical,Why is the branch network important for ZX Bank Ltd. in Sri Lanka?,"[{""filename"": ""Sri Lanka Branch Network.md"", ""text"": ""ZX Bank Ltd.'s network of 32 branches in Sri Lanka is strategically distributed across all major provinces, providing comprehensive coverage and ensuring convenient access to banking services. This enhances financial inclusion and supports both individuals and businesses across the nation.""}]"
ZX Bank,Procedural,How can I contact the ZX Bank branch in Kandy?,"[{""filename"": ""Sri Lanka Branch Network.md"", ""text"": ""The ZX Bank branch in Kandy is located at 56 Peradeniya Road, Kandy. The contact number for the branch is 081-2357812.""}]"
ZX Bank,Boolean,Does ZX Bank Ltd. operate branches in the Northern Province of Sri Lanka?,"[{""filename"": ""Sri Lanka Branch Network.md"", ""text"": ""Yes, ZX Bank Ltd. operates branches in the Northern Province of Sri Lanka, including locations such as Jaffna, Kilinochchi, Vavuniya, Mannar, Chavakachcheri, and Mullaitivu.""}]"
ZX Bank,Temporal,"When did ZX Bank Ltd. establish its branch in Colombo, Western Province?","[{""filename"": ""Sri Lanka Branch Network.md"", ""text"": ""The specific establishment date of each branch isn't provided. However, ZX Bank Ltd. has a presence in Colombo, Western Province, with the branch located at 123 Galle Road, Colombo 03.""}]"
ZX Bank,Procedural,How do I convert my ZX Bank savings account to a salary account?,"[{""filename"": ""Savings Account to a Salary Account.md"", ""text"": ""If you're joining a new company, or your employer has partnered with ZX Bank for salary disbursement, you may want to convert your existing savings account into a salary account for added benefits.""}, {""filename"": ""Savings Account to a Salary Account.md"", ""text"": ""Steps to Convert Savings Account to Salary Account at ZX Bank:\n1. Check Your Employer's Tie-Up: Confirm with your HR/Payroll department if they have a salary account arrangement with ZX Bank.\n2. Visit Your Home Branch or Use ZX Bank Asia App: You can initiate the conversion by visiting your ZX Bank home branch or through the \""Account Services\"" section in the ZX Bank Asia app.\n3. Provide Required Documents: Prepare documents such as your employee ID card, letter from employer, PAN card, and recent passport-size photograph.\n4. Fill Out Conversion Form: At the branch, ask for the Account Conversion/Upgrade Form, or use the app to fill out and submit details.\n5. Verification and Processing: The bank will verify documents, and upon successful verification, your account type will change to Salary Account.\n6. Enjoy Salary Account Benefits!""}]"
ZX Bank,Open-Ended,Why should I convert my savings account to a salary account?,"[{""filename"": ""Savings Account to a Salary Account.md"", ""text"": ""Why Convert to a Salary Account?\n- Zero minimum balance requirement (in most salary account types)\n- Faster salary credit and alerts\n- Preferential offers on loans, credit cards, and more\n- Fee waivers on select services\n- Exclusive benefits like insurance and accidental coverage""}]"
ZX Bank,Comparative,How is converting to a salary account different from a regular savings account?,"[{""filename"": ""Savings Account to a Salary Account.md"", ""text"": ""Why Convert to a Salary Account?\n- Zero minimum balance requirement (in most salary account types) compared to maintaining a certain balance in a regular savings account.\n- Faster salary credit and alerts that might not be prioritized in regular savings accounts.\n- Preferential offers on loans, credit cards, and more, which are typically exclusive to salary accounts.\n- Fee waivers on select services that may not be applicable to regular savings accounts.\n- Exclusive benefits like insurance and accidental coverage are often part of salary account packages.""}]"
ZX Bank,Boolean,Can I convert my savings account to a salary account online?,"[{""filename"": ""Savings Account to a Salary Account.md"", ""text"": ""Yes, if your employer is registered with ZX Bank and your KYC is up to date, you can use the ZX Bank Asia app or NetBanking for conversion.""}]"
ZX Bank,Procedural,How can I convert my salary account to a savings account at ZX Bank?,"[{""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""If your employment has changed, or your salary account is no longer receiving regular salary credits, you may need to convert your Salary Account to a regular Savings Account. At ZX Bank, this process is straightforward. Here\u2019s how you can do it:""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Visit Your Home Branch: Locate your nearest ZX Bank branch (especially the one where you opened your salary account). Carry valid proof of identity (Aadhaar, PAN Card, Passport, etc.) and account passbook/debit card.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Fill Out the Account Conversion Request Form: Request a Salary to Savings Account Conversion Form at the branch. Fill in your details, mention your account number, and select \u201cConvert to Savings Account.\u201d Attach self-attested copies of requested KYC documents (if required).""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Submit the Form and Documents: Hand over the filled form and documents to the branch staff. The staff will verify your documents and initiate the conversion process.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Maintain Minimum Balance: Ensure you maintain the required minimum balance for Savings Accounts as per ZX Bank guidelines, to avoid charges.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Get Confirmation: You will receive confirmation via SMS/email once the conversion is complete. Existing debit card, chequebook, and account number typically remain unchanged.""}]"
ZX Bank,Comparative,How is a salary account different from a savings account at ZX Bank?,"[{""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Salary accounts are typically provided to employees for salary credits and have special benefits.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""If salary credits stop (for 3+ months), your account may be automatically converted to a Savings Account by the bank, but manual conversion avoids service interruptions. Savings accounts have different features and requirements, including minimum balance criteria.""}]"
ZX Bank,Open-Ended,Why might someone need to convert their salary account at ZX Bank?,"[{""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Salary accounts are typically provided to employees for salary credits and have special benefits. If salary credits stop (for 3+ months), your account may be automatically converted to a Savings Account by the bank.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Manual conversion avoids service interruptions and ensures compliance with different features and requirements of savings accounts, including minimum balance criteria.""}]"
ZX Bank,Analytical,Why is it important to maintain a minimum balance in a savings account at ZX Bank?,"[{""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Maintain Minimum Balance: Ensure you maintain the required minimum balance for Savings Accounts as per ZX Bank guidelines, to avoid charges.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Savings accounts have different features and requirements, including minimum balance criteria to ensure account privileges remain active and to avoid service disruptions or additional fees.""}]"
ZX Bank,Procedural,How can I request account conversion through ZX Bank's Digital Banking services?,"[{""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Alternative: Conversion via Digital Banking: ZX Bank also enables digital requests through the ZX Bank Asia Mobile App or NetBanking.""}, {""filename"": ""Salary Account to a Savings Account.md"", ""text"": ""Go to \u201cService Requests\u201d > \u201cConvert Salary Account to Savings Account.\u201d Fill in details and upload necessary KYC docs, if asked. Receive confirmation after processing.""}]"
ZX Bank,Procedural,How do I report a fraudulent transaction at ZX Bank?,"[{""filename"": ""Fraud Transaction.md"", ""text"": ""If you suspect or identify a fraudulent transaction on your ZX Bank account, follow these steps immediately to secure your funds and resolve the issue.""}, {""filename"": ""Fraud Transaction.md"", ""text"": ""Step 1: Contact ZX Bank Immediately. Use the hotline, email, or mobile app to report. Step 2: Block Your Card or Account, if applicable. Step 3: Gather key information for reporting. Step 4: File a written complaint at the branch or online. Step 5: Follow up and track resolution.""}]"
ZX Bank,Boolean,Can you report fraud through the ZX Bank app?,"[{""filename"": ""Fraud Transaction.md"", ""text"": ""Yes, you can report fraud through the ZX Bank Asia app by navigating to Support and selecting Report Fraud.""}]"
ZX Bank,Analytical,Why is it important to act quickly when reporting a fraud transaction at ZX Bank?,"[{""filename"": ""Fraud Transaction.md"", ""text"": ""Your safety is our priority. Report suspicious activities as soon as possible to minimize risk. Regularly reviewing your account statements helps in detecting unauthorized transactions. Following steps promptly ensures quicker resolution.""}]"
ZX Bank,Descriptive,What are the steps to block a card or account at ZX Bank?,"[{""filename"": ""Fraud Transaction.md"", ""text"": ""Via Mobile App or NetBanking: Go to \u201cCard Management\u201d or \u201cAccount Services.\u201d Select \u201cBlock/Card Hotlisting\u201d or \u201cFreeze Account\u201d and confirm the action.""}]"
ZX Bank,Comparative,How does ZX Bank's fraud reporting process differ between in-branch and online?,"[{""filename"": ""Fraud Transaction.md"", ""text"": ""In Branch: Visit your nearest ZX Bank branch and submit a written complaint.\nOnline: Use NetBanking > Service Requests > Dispute Transaction or email a formal complaint to fraudreport@zxbank.asia.""}]"
ZX Bank,Descriptive,What security features does ZX Bank offer against online threats?,"[{""filename"": ""Safety Features.md"", ""text"": ""At ZX Bank, the security of your digital banking experience is our top priority. Here\u2019s how we protect you from online threats: Multi-Factor Authentication (MFA), AI-driven Fraud Detection, End-to-End Encryption, Session Timeout & Auto-Logout, Secure Fund Transfer Controls, Regular Security Updates, User Education, Transaction Notifications, and Secure Remittance Corridors.""}]"
ZX Bank,Analytical,How does ZX Bank employ AI in its security measures?,"[{""filename"": ""Safety Features.md"", ""text"": ""AI-driven Fraud Detection at ZX Bank includes real-time monitoring where AI systems look for suspicious activities and immediately flag unusual account behavior. Customers receive immediate alerts for any unauthorized or suspicious transaction attempts.""}]"
ZX Bank,Procedural,How do I secure my account if I suspect a breach at ZX Bank?,"[{""filename"": ""Safety Features.md"", ""text"": ""Stay vigilant, never share your passwords or OTPs, and contact ZX Bank support if you notice any suspicious activity. ZX Bank offers 24/7 support with a dedicated helpline and an in-app AI assistant \""Zia\"" for instant security advice.""}]"
ZX Bank,Boolean,Does ZX Bank use biometric login for security?,"[{""filename"": ""Safety Features.md"", ""text"": ""Yes, ZX Bank uses biometric login which offers secure access via fingerprint or facial recognition on the ZX Bank Asia app.""}]"
ZX Bank,Comparative,How does ZX Bank's approach to phishing protection compare to its security updates?,"[{""filename"": ""Safety Features.md"", ""text"": ""ZX Bank employs both regular security updates and phishing protection as part of its security measures. Frequent app updates patch vulnerabilities and enhance defenses, while built-in features detect phishing links and sites, alerting users to potential threats.""}]"
ZX Bank,Descriptive,What is the PRM Assistant Program at ZX Bank?,"[{""filename"": ""Personal Relationship Manager Assistant Program.md"", ""text"": ""The Personal Relationship Manager Assistant Program connects you with a dedicated relationship manager\u2014a friendly banking expert who understands your unique needs. Whether you manage your finances digitally or prefer in-person services, your PRM Assistant will guide and support you, making banking easier and more personalized than ever before.""}]"
ZX Bank,Analytical,Why should ZX Bank account holders use the PRM Assistant Program?,"[{""filename"": ""Personal Relationship Manager Assistant Program.md"", ""text"": ""The PRM Assistant Program offers personalized attention with customer-centric service, saving time by handling banking details and providing expert guidance to help customers make informed decisions. This seamless, stress-free banking experience is accessible to all account holders at no extra charge.""}]"
ZX Bank,Procedural,How can a ZX Bank account holder contact their PRM Assistant?,"[{""filename"": ""Personal Relationship Manager Assistant Program.md"", ""text"": ""Via ZX Bank Asia App: Tap \u2018PRM Assistant\u2019 for secure messaging or video calls. By Phone: Call your dedicated relationship manager directly (contact found in the app or welcome kit). In Branch: Schedule a face-to-face meeting at your nearest ZX Bank branch.""}]"
ZX Bank,Open-Ended,What services does the PRM Assistant provide?,"[{""filename"": ""Personal Relationship Manager Assistant Program.md"", ""text"": ""The PRM Assistant supports account inquiries, digital banking guidance, loan and credit advisory, wealth and investment concierge services, remittance and NRI services, and expedites issue resolution of service or transaction issues.""}]"
ZX Bank,Comparative,How does the PRM Assistant Program personalize banking compared to general services?,"[{""filename"": ""Personal Relationship Manager Assistant Program.md"", ""text"": ""The PRM Assistant provides a named manager as a single point of contact, offers priority assistance, gives personalized help with transactions, and provides tailored recommendations on banking products and investment opportunities, enhancing the personalization compared to general banking services.""}]"
ZX Bank,Descriptive,What is ZX Bank’s Agriculture Loan?,"[{""filename"": ""ZX Bank Agriculture Loan.md"", ""text"": ""ZX Bank offers specialized Agriculture Loans designed to support crop production, equipment purchase, irrigation solutions, dairy, and allied activities across South Asia. The loans aim to empower farmers and agribusinesses with flexible terms and low-interest rates to fuel rural prosperity.""}]"
ZX Bank,Procedural,How do I apply for an Agriculture Loan at ZX Bank?,"[{""filename"": ""ZX Bank Agriculture Loan.md"", ""text"": ""1. **Online Application (Recommended):** \n - Download the ZX Bank Asia Mobile App.\n - Register with a mobile number and e-KYC.\n - Navigate to Loans > Agriculture Loan.\n - Fill out the form and upload documents.\n - Track the application in real-time using the \u201cZia\u201d AI assistant.\n \n2. **Visit a Branch or Digital Kiosk:** \n - Visit the nearest branch or digital kiosk.\n - Collect and fill the Agriculture Loan Application form.\n - Submit documents and receive assistance from Agri-Loan officers.\n \n3. **Contact Customer Care:** \n - Call the Agri Loan helpline: 1800-123-4567.\n - Email support: agrihelp@zxbank.asia.""}]"
ZX Bank,Analytical,Why does ZX Bank offer special schemes for women-led agri ventures?,"[{""filename"": ""ZX Bank Agriculture Loan.md"", ""text"": ""ZX Bank provides an extra 1% interest rate discount for women-led agri ventures. This initiative aims to promote inclusivity and empower women farmers by making financial resources more accessible, thereby supporting women-led agricultural activities and rural development.""}]"
ZX Bank,Boolean,Does ZX Bank offer a discount for women farmers?,"[{""filename"": ""ZX Bank Agriculture Loan.md"", ""text"": ""Yes, ZX Bank provides an extra 1% interest rate discount for women-led agri ventures under their Agriculture Loan schemes.""}]"
ZX Bank,Descriptive,Where are the ZX Bank ATMs located in Bangladesh?,"[{""filename"": ""Bangladesh ATM Locations.md"", ""text"": ""ZX Bank provides convenient banking access across Bangladesh through its growing ATM network. Below is a list of our ATM locations and addresses:""}, {""filename"": ""Bangladesh ATM Locations.md"", ""text"": ""The list of ATM locations includes major cities such as Dhaka, Chattogram, Sylhet, Khulna, and others.""}]"
ZX Bank,Procedural,How can I locate the nearest ZX Bank ATM?,"[{""filename"": ""Bangladesh ATM Locations.md"", ""text"": ""Need Help? Locate your nearest ATM with the [ZX Bank Asia App](#) or visit [www.zxbank.asia](http://www.zxbank.asia)""}]"
ZX Bank,Temporal,When was the ATM location information last updated?,"[{""filename"": ""Bangladesh ATM Locations.md"", ""text"": ""*Last updated: June 2024*""}]"
ZX Bank,Boolean,Is there a ZX Bank ATM in Jessore?,"[{""filename"": ""Bangladesh ATM Locations.md"", ""text"": ""Yes, there is a ZX Bank ATM located at 13 Monihar More, Jessore-7400.""}]"
ZX Bank,Analytical,"Why might ZX Bank have chosen to place an ATM in Gulshan, Dhaka?","[{""filename"": ""Bangladesh ATM Locations.md"", ""text"": ""One of the locations in Dhaka is Plot 12, Gulshan Avenue, Gulshan-2, Dhaka-1212. Gulshan is a prominent commercial and residential area, making it a strategic location for customer accessibility.""}]"
ZX Bank,Descriptive,Where are ZX Bank ATMs located in Mumbai?,"[{""filename"": ""ATM Locations at Major Hospitals.md"", ""text"": ""Below is a list of ZX Bank ATMs located at major hospitals across key cities in India.""}, {""filename"": ""ATM Locations at Major Hospitals.md"", ""text"": ""Mumbai, Maharashtra\n- **Lilavati Hospital & Research Centre** \n A-791, Bandra Reclamation, Bandra West, Mumbai, Maharashtra 400050\n- **Kokilaben Dhirubhai Ambani Hospital** \n Rao Saheb Achutrao Patwardhan Marg, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053""}]"
ZX Bank,Boolean,Does ZX Bank have an ATM at AIIMS in Delhi?,"[{""filename"": ""ATM Locations at Major Hospitals.md"", ""text"": ""Delhi, National Capital Territory\n- **All India Institute of Medical Sciences (AIIMS)** \n Sri Aurobindo Marg, Ansari Nagar, New Delhi, Delhi 110029""}]"
